HEAD,FPGA,TDC_CHANNEL,ORBIT_CNT,BX_COUNTER,TDC_MEAS
1,1,4,47629,3248,19
1,1,42,47631,2173,2
1,1,20,47635,860,2
1,0,22,47637,437,18
1,1,26,47640,3534,15
1,0,115,47641,1452,2
1,0,115,47641,1461,15
1,1,30,47644,2381,16
1,0,25,47650,335,11
1,0,92,47650,1530,24
1,1,20,47657,86,16
1,1,4,47667,2147,13
1,1,4,47667,2154,6
1,0,27,47670,753,5
1,1,76,47680,3218,17
1,1,108,47683,1441,14
1,0,100,47687,644,23
1,1,105,47692,460,26
1,1,64,47692,2491,3
1,0,112,47706,635,12
1,1,51,47707,2839,15
1,0,98,47714,2145,14
1,0,60,47716,0,3
1,1,24,47719,3419,12
1,1,16,47720,1292,5
1,1,36,47720,3418,13
1,1,63,47722,655,23
1,1,4,47723,3180,4
1,1,24,47727,2293,2
1,1,112,47728,40,15
1,0,77,47741,664,6
1,1,37,47742,759,15
1,1,22,47746,3360,17
1,0,86,47749,3420,19
1,1,64,47756,122,27
1,1,13,47756,1093,17
1,0,128,47759,2896,25
1,1,128,47764,1352,7
1,1,97,47764,1364,21
1,0,86,47771,1918,2
1,0,16,47772,2093,5
1,1,117,47777,1266,3
1,1,22,47777,1968,1
1,1,4,47779,2813,11
1,1,36,47781,2242,1
1,1,4,47783,811,25
1,1,12,47793,3203,28
1,1,32,47796,307,15
1,0,122,47796,1513,29
1,1,24,47797,1936,20
1,1,105,47799,998,14
1,0,107,47800,3398,18
1,1,108,47804,1423,29
1,0,97,47806,2378,6
1,1,51,47812,807,22
1,1,6,47818,1658,26
1,0,124,47827,1058,22
1,1,92,47827,1801,25
1,0,71,47828,2715,11
1,1,16,47830,827,20
1,0,102,47833,3027,7
1,1,58,47839,1449,1
1,0,74,47842,1918,22
1,0,4,47844,3012,16
1,1,32,47847,2859,15
1,1,96,47850,3378,23
1,1,24,47851,148,17
1,1,117,47853,1853,11
1,1,125,47854,2548,7
1,1,4,47856,1830,0
1,0,118,47860,2047,21
1,1,78,47861,2066,2
1,0,74,47874,116,3
1,0,75,47876,307,22
1,0,25,47879,1644,26
1,0,28,47879,1647,11
1,0,119,47879,1652,16
1,0,27,47879,1652,24
1,0,121,47879,1649,27
1,0,26,47879,1655,9
1,0,120,47879,1652,24
1,0,122,47879,1649,14
1,0,139,47879,1657,0
1,0,92,47882,2340,29
1,1,39,47888,2339,4
1,0,4,47889,1874,17
1,1,20,47898,3147,19
1,1,98,47903,195,25
1,0,120,47904,424,21
1,1,4,47907,1835,17
1,1,64,47916,1796,11
1,1,59,47917,812,18
1,1,15,47917,1651,10
1,0,86,47921,1630,5
1,0,120,47921,2082,17
1,1,117,47923,2962,9
1,1,4,47924,1140,2
1,1,32,47925,2345,4
1,1,58,47931,2794,16
1,1,95,47931,2794,0
1,1,57,47931,2798,9
1,1,93,47931,2798,8
1,1,60,47931,2802,5
1,1,96,47931,2798,29
1,1,139,47931,2808,0
1,1,55,47931,2806,8
1,1,94,47931,2803,19
1,0,120,47932,2251,26
1,0,120,47933,3022,24
1,0,120,47934,1156,19
1,1,98,47934,2669,22
1,0,120,47935,1067,4
1,0,16,47936,594,28
1,0,120,47938,1266,1
1,0,120,47940,2183,24
1,0,120,47942,1416,5
1,0,120,47943,2716,20
1,0,120,47944,1748,13
1,0,120,47944,2907,6
1,0,120,47944,3424,28
1,0,120,47945,807,29
1,0,120,47945,1056,20
1,1,36,47945,1729,8
1,0,120,47946,162,13
1,0,120,47947,1082,13
1,0,120,47947,2446,21
1,0,120,47948,57,25
1,0,120,47948,510,25
1,0,4,47948,3136,8
1,0,120,47949,241,15
1,0,120,47949,1606,14
1,1,16,47953,168,16
1,0,120,47955,671,1
1,1,50,47956,1679,3
1,1,50,47960,877,17
1,0,111,47962,3275,21
1,1,41,47963,671,29
1,1,41,47963,678,0
1,0,29,47963,868,20
1,1,32,47973,253,7
1,0,120,47976,1248,5
1,1,73,47982,912,10
1,1,12,47984,1940,27
1,0,28,47985,1021,27
1,1,125,47993,485,7
1,0,119,47993,2625,1
1,0,105,48010,859,22
1,1,44,48011,902,24
1,1,13,48014,501,18
1,0,85,48017,2355,24
1,1,69,48017,3229,2
1,1,42,48027,1998,14
1,1,32,48028,1096,22
1,1,65,48029,811,13
1,0,105,48030,852,20
1,1,88,48046,122,1
1,1,24,48046,422,17
1,1,4,48046,3528,8
1,1,125,48051,3119,22
1,0,66,48060,1152,0
1,0,108,48060,3047,22
1,0,86,48061,2892,11
1,0,46,48064,3175,16
1,1,102,48068,151,16
1,1,16,48069,2537,3
1,0,128,48073,2364,14
1,0,110,48081,637,0
1,1,8,48084,451,12
1,1,8,48084,466,12
1,0,112,48084,3227,23
1,1,30,48087,1868,2
1,0,77,48088,561,9
1,1,117,48092,61,26
1,0,84,48097,128,4
1,1,98,48098,535,25
1,1,27,48100,229,10
1,1,89,48100,236,27
1,1,28,48100,236,25
1,1,91,48100,231,20
1,1,26,48100,238,19
1,1,92,48100,231,25
1,1,29,48100,240,16
1,1,89,48100,254,12
1,1,35,48103,1895,21
1,0,86,48103,2236,12
1,0,77,48106,1658,17
1,0,77,48106,2672,23
1,1,120,48107,15,14
1,0,77,48107,371,11
1,1,41,48111,261,0
1,1,24,48114,474,20
1,1,56,48115,3113,14
1,0,77,48116,102,1
1,1,119,48116,3560,17
1,1,12,48121,2517,18
1,1,1,48123,568,10
1,0,8,48126,2986,21
1,0,77,48127,2328,1
1,0,77,48128,2433,29
1,1,52,48128,2676,29
1,1,110,48131,2755,22
1,1,38,48133,157,17
1,0,4,48133,1956,15
1,1,76,48135,1693,14
1,0,4,48138,2453,16
1,0,72,48140,3511,25
1,0,11,48143,1940,22
1,1,36,48148,1343,21
