HEAD,FPGA,TDC_CHANNEL,ORBIT_CNT,BX_COUNTER,TDC_MEAS
1,1,139,1289768705,2275,0
1,1,3,1289768705,2273,22
1,1,69,1289768705,2686,23
1,1,28,1289768717,1352,10
1,1,20,1289768731,2027,17
1,1,11,1289768735,1749,15
1,1,23,1289768780,3039,22
1,1,31,1289768804,1957,15
1,1,30,1289768804,1964,1
1,1,32,1289768804,1960,22
1,1,139,1289768804,1969,0
1,1,29,1289768804,1967,12
1,1,31,1289768804,1967,23
1,1,31,1289768804,1985,8
1,1,56,1289768807,1710,11
1,1,18,1289768822,647,19
1,1,17,1289768822,657,21
1,1,15,1289768822,660,0
1,1,139,1289768822,662,0
1,1,20,1289768822,659,6
1,1,30,1289768832,1506,4
1,1,34,1289768841,1054,10
1,1,57,1289768852,566,2
1,1,25,1289768854,3366,24
1,1,21,1289768883,2421,15
1,1,19,1289768883,2435,5
1,1,27,1289768924,1797,13
1,1,66,1289768949,2746,10
1,1,19,1289768959,2142,5
1,1,20,1289768959,2144,29
1,1,18,1289768959,2153,28
1,1,139,1289768959,2155,0
1,1,21,1289768959,2148,24
1,1,77,1289768960,213,8
1,1,7,1289768975,1243,18
1,1,57,1289768976,1218,14
1,1,139,1289768976,1221,0
1,1,58,1289768976,1216,28
1,1,59,1289768976,1217,7
1,1,60,1289768976,1219,11
1,1,32,1289768985,137,9
1,1,34,1289768985,139,3
1,1,139,1289768985,150,0
1,1,35,1289768985,146,10
1,1,41,1289768985,148,1
1,1,37,1289768985,151,2
1,1,60,1289768986,1437,25
1,1,61,1289768986,1441,13
1,1,59,1289768986,1445,28
1,1,139,1289768986,1449,0
1,1,62,1289768986,1447,12
1,1,28,1289768989,3445,4
1,1,29,1289768989,3448,1
1,1,139,1289768989,3459,0
1,1,27,1289768989,3447,22
1,1,30,1289768989,3457,0
1,1,29,1289768989,3464,25
1,1,67,1289769004,2028,3
1,1,63,1289769005,1953,0
1,1,64,1289769005,1954,19
1,1,139,1289769005,1965,0
1,1,65,1289769005,1963,26
1,1,66,1289769005,1962,6
1,1,45,1289769011,247,3
1,1,25,1289769015,29,0
1,1,62,1289769039,552,1
1,1,63,1289769039,551,16
1,1,65,1289769039,551,24
1,1,69,1289769039,561,24
1,1,72,1289769067,679,14
1,1,47,1289769118,767,15
1,1,48,1289769118,769,25
1,1,139,1289769118,783,0
1,1,45,1289769118,781,12
1,1,46,1289769118,779,4
1,1,50,1289769122,2666,27
1,1,50,1289769122,2678,4
1,1,31,1289769127,299,6
1,1,32,1289769127,299,10
1,1,31,1289769127,306,18
1,1,139,1289769127,313,0
1,1,32,1289769127,305,25
1,1,34,1289769127,305,1
1,1,33,1289769127,311,4
1,1,60,1289769142,2513,20
1,1,6,1289769233,3429,7
1,1,3,1289769233,3429,0
1,1,8,1289769233,3438,11
1,1,139,1289769233,3440,0
1,1,1,1289769233,3437,1
1,1,3,1289769233,3437,0
1,1,66,1289769277,677,21
1,1,65,1289769277,682,12
1,1,68,1289769277,684,2
1,1,67,1289769277,689,2
1,1,139,1289769277,691,0
1,1,68,1289769277,699,13
1,1,65,1289769284,516,12
1,1,44,1289769319,177,13
1,1,10,1289769323,1618,2
1,1,13,1289769323,1616,2
1,1,14,1289769323,1617,27
1,1,15,1289769323,1629,14
1,1,36,1289769337,805,17
1,1,34,1289769337,808,11
1,1,32,1289769337,817,20
1,1,36,1289769337,818,17
1,1,16,1289769346,2073,5
1,1,15,1289769346,2076,11
1,1,17,1289769346,2083,18
1,1,139,1289769346,2085,0
1,1,18,1289769346,2082,1
1,1,5,1289769348,1513,4
1,1,8,1289769348,1518,10
1,1,139,1289769348,1523,0
1,1,6,1289769348,1515,25
1,1,7,1289769348,1521,9
1,1,16,1289769351,58,24
1,1,30,1289769390,641,10
1,1,28,1289769390,642,24
1,1,32,1289769390,644,26
1,1,139,1289769390,653,0
1,1,27,1289769390,645,18
1,1,25,1289769390,651,18
1,1,28,1289769390,655,2
1,1,21,1289769390,2045,13
1,1,8,1289769395,3445,20
1,1,9,1289769395,3441,26
1,1,139,1289769395,3455,0
1,1,10,1289769395,3453,25
1,1,7,1289769395,3453,25
1,1,43,1289769401,2608,23
1,1,51,1289769407,2205,9
